Country,Region-Geo,Continent,Region,Year,Leap Year,ChildrenPerWoman,CO2Emissions,DemocracyScore,IncomePerPerson,Incomeshareofpoorest10pct,Incomeshareofrichest10pct,Infantmortality,Inflation,Internetusers,LifeExpectancy,Literacyrateadulttotal,Literacyrateyouthtotal,Longtermunemploymentrate,Medianage,MedicalDoctors,Murder,Murderedmen,Murderedwomen,Oilconsumptionperperson,Populationgrowth,Populationtotal,Populationdensity,Poverty,Ratioofgirlstoboysinprimaryandsecondaryeducation,Renewablewater,Residentialelectricityuseperperson,Suicideage15to29,Taxrevenue,Teenfertilityrate,TotalGDPUS,TotalhealthspendingperpersonUS,Tradebalance,Trafficdeaths,UrbanpopulationTotal,Urbanpopulationgrowth,YearlyCO2emission
Bermuda,America - North,North America,America,1972,[1972],,4.788855028,,81648.49487,,,,9.525770761,,,,,,,,,,,,-0.735297384,52831,996.811,,104.938,,,,,,1714036561,,,,100,-0.735297431,253
Bhutan,Asia - Southern,Asia,South Asia,1972,[1972],6.679,0.011288477,-10,1615.245172,,,170.6,,,38.476,,,,,,,,,,3.727946174,324815,6.911,,21.044,296847.17,,,,,,,,,6.8038,9.123890591,3.666666667
Bolivia,America - South,Central and South America,America,1972,[1972],6.496,0.806896442,-7,5960.662677,,,136,18.99603338,,46.563,,,,,,,,,,2.434448164,4426012,4.029,,,140789.3945,41.62057105,,,94.7,4434344635,,-2.906698565,,40.3912,3.1989148,3571.333333
Bosnia and Herzegovina,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],2.675,,-7,5720.339501,,,,,,67.308,,,,,,,,,,1.023801868,3636930,71.038,,,,,,,,,,,,28.8358,3.899425222,
Botswana,America - South,Africa,Sub-Saharan Africa,1972,[1972],6.579,0.029742471,6,4527.222227,,,78.8,10.77542314,,56.027,,,,,,,,,,3.289775777,739683,1.272,,113.276,16391.313,,,,,451320315.4,,-23.17073171,,9.454,12.24702515,22
Brazil,America - South,Central and South America,America,1972,[1972],4.782,1.134125212,-9,9971.422934,,,96,19.14440791,,59.644,,,,,,,,,0.318835565,2.392336276,100828667,11.843,,99.932,81731.11,98.51033366,,,68.3,238e9,,-1.584899902,,57.861,4.093525926,114352.3333
British Virgin Islands,America - Central,Central and South America,America,1972,[1972],,2.170909809,,5757.009956,,,,,,,,,,,,,,,,,10134,67.113,,,,,,,,,,,,,,22
Brunei,Asia - South Eastern,Asia,East Asia & Pacific,1972,[1972],5.758,68.95998717,,108234.3181,,,,,,68.025,,,,,,,,,,4.602756557,137181,23.795,,94.262,59936.81,501.8571025,,,,,,,,61.8026,4.706041781,9460
Bulgaria,Europe - Eastern,Europe,Europe & Central Asia,1972,[1972],2.155,7.701808869,-7,13194.9888,,,31.6,,,70.9,,,,,1.984899998,2.681252,4.379257,1.019213,1.196856326,0.465213742,8590839,77.456,,99.232,2479.38,376.3416035,7.023362,,68.37,,,,13.16458,54.4048,2.418556001,66165
Burkina Faso,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],6.697,0.026691801,-4,1709.471953,,,145.9,7.296645309,,40.003,,,,,,,,,,2.01128882,6044303,22.059,,57.543,2194.63,,,,,825042565.1,,-14.88927249,,5.9864,4.039605322,161.3333333
Burundi,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],7.348,0.02050028,-7,928.1990079,,,144.9,4.29080997,,44.236,,,,,,,,,,0.766744446,3577187,128.519,,48.83,3504.1347,,,,,503962170.8,,-3.340526223,,2.7164,7.119533426,73.33333333
Cambodia,Asia - South Eastern,Asia,East Asia & Pacific,1972,[1972],6.173,0.016483716,-5,2186.831068,,,,,,36.682,,,,,,,,,,1.111144753,7118136,39.319,,,67047.481,,,,,,,,,11.346,-17.43487241,117.3333333
Cameroon,Africa - Central,Africa,Sub-Saharan Africa,1972,[1972],6.286,0.119505432,-8,3368.293056,,,115.9,7.976383444,,47.159,,,,,,,,,,2.644093959,7210272,15.165,,73.044,39629.76,10.25675442,,,,3582798039,,-5.69388033,,23.096800000000002,8.889649427,861.6666667
Canada,America - North,North America,America,1972,[1972],1.965,17.05605798,10,37941.14172,,,16.7,5.900125293,,72.88,,,,,1.6,2.444624,3.185388,1.71932,3.46377729,1.595369674,22344104,2.241,,99.153,129877.66,2152.466173,14.31524,,,304e9,,0.906171245,28.54163,75.6368,1.584000193,381102.3333
Cayman Islands,America - Central,Central and South America,America,1972,[1972],,5.197996409,,43440.25671,,,,,,,,,,,,,,,,5.607492691,10581,40.08,,119.312,,,,,,,,,,100,5.607492691,55
Central African Republic,America - Central,Central and South America,Sub-Saharan Africa,1972,[1972],5.953,,-7,2140.026551,,,,,,43.539,,,,,,,,,,,1900723,,,,74325.4,,,,,,,-8.878286238,,,,
Chad,Africa - Central,Africa,Sub-Saharan Africa,1972,[1972],6.636,0.031555005,-9,2208.207974,,,133.1,5.553683665,,42.229,,,,,,,,,,2.428313334,3834574,2.986,,31.059,11122.33,,,,,820066531.1,,-4.818960965,,13.1672,8.693187229,121
Channel Islands,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],1.918,,,,,,,,,72.02,,,,,,,,,,0.972871602,123534,633.508,,,,,,,,,,,,35.326,-0.099879524,
Chile,America - South,Central and South America,America,1972,[1972],3.679,2.839963261,6,10988.04887,,,65.2,85.54386223,,63.266,,,,,,5.541167,10.28186,1.231205,0.541610627,1.758283906,9925950,13.119,,100.269,92953.72,108.3804414,10.01553,,84.1,22796622697,,-3.412685201,23.00672,76.4906,2.5876979,28189.33333
China,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],4.92,1.085901867,-8,1881.679927,,,72.1,-0.019975236,,63.11888,,,,,0.860000014,,,,0.051497776,2.45735693,857804035,89.383,,,3229.4691,6.183032168,,,31,111e9,,-0.243046105,,17.4,2.45735693,931491
Colombia,America - South,Central and South America,America,1972,[1972],5.153,1.406419992,7,6529.320083,,,65.4,12.96783365,,61.591,,,,,,23.58749,44.26723,4.288996,0.269056849,2.351627151,22381887,19.652,,103.539,90252.89,158.7482368,7.806684,,89.9,36216465586,,-0.527386948,15.01609,56.3076,3.681387859,31478.33333
Comoros,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],7.058,0.117804552,,3875.155351,,,142.7,,,48.68,,,,,,,,,,2.241398573,249000,133.799,,,4140.75,,,,,,,,,20.1296,4.095578354,29.33333333
Cook Islands,Oceania,Oceania,East Asia & Pacific,1972,[1972],,0.513466835,,,,,35.5,,,,,,,,,,,,,,,90.775,,,,,,,,,,,,,,11
Costa Rica,America - Central,Central and South America,America,1972,[1972],4.488,0.923911497,10,10236.29388,,,52.8,6.413088925,,67.806,,,,,,4.338424,6.537947,2.179145,,2.32520057,1908913,37.356,,100.872,58845.39,394.1201856,6.271579,,105.8,4986764462,,-6.43637866,21.43076,39.8358,3.599482913,1763.666667
Cote d'Ivoire,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],7.937,0.509996196,-9,4756.402222,,,151.1,2.511616426,,45.351,,,,,,,,,,4.399830812,5909848,18.327,,54.165,14036.228,15.81391427,,,,5270882418,,4.505469992,,29.7894,7.167613028,3014
Croatia,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],1.975,,-7,18328.18025,,,,,,68.969,,,,,,,,,,0.494827789,4201302,74.309,,,,,,,,,,,,42.168,2.860865007,
Cuba,America - Central,Central and South America,America,1972,[1972],3.646,2.308099976,-7,10610.89051,,,31.2,6.958653658,,70.79,,,,,,3.963597,5.084947,2.789029,,1.730615504,9010586,81.278,,98.572,4226.092,125.9377572,17.24129,,140.7,17607518857,,-11.55688707,11.10487,61.8492,3.018763834,20797.33333
Cyprus,Asia - Western,Asia,Europe & Central Asia,1972,[1972],2.491,3.829294955,7,15249.17714,,,,,,73.067,,,,,,,,,,1.145292382,628140,67.9,,,1266.149,284.26000320000003,,,,,,,,43.3674,4.196390796,2405.333333
Czech Republic,Europe - Eastern,Europe,Europe & Central Asia,1972,[1972],2.153,,-7,26216.9072,,,,,,70.29,,,,,,,,,0.854242436,,9855516,,,,,367.5313577,,,47.424,,,,,,,
Denmark,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],2.03,11.94800546,10,36119.55515,,,12.4,9.598600365,,73.47,,,,,,0.5960898,0.5164665,0.6747143,3.88527541,0.571991415,4987806,115.742,,,1202.92,,11.26221,,28.1,86696928071,,-1.065022422,21.97184,80.7006,1.170802298,59594.33333
Djibouti,Africa - Eastern,Africa,Middle East & North Africa,1972,[1972],6.836,1.0497994,,7388.424704,,,,,,50.442,,,,,,,,,,5.723355656,181622,7.829,,,1652.25,,,,,,,,,63.923,7.416185555,190.6666667
Dominica,America - Central,Central and South America,America,1972,[1972],,0.357788403,,6237.210465,,,36.3,,,,,,,,,,,,,0.237257969,71737,95.522,,,,,,,,,,,,50.253,3.639559315,25.66666667
Dominican Republic,America - Central,Central and South America,America,1972,[1972],5.782,,-3,4379.748999,,,,,,59.565,,,,,,,,,,,4764319,,,,4318.2919,224.6017825,,,116.7,,,-4.810547051,,,,
East Germany,Europe - Eastern,Europe,Europe & Central Asia,1972,[1972],,16.66322765,-9,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282483.6667
Ecuador,America - South,Central and South America,America,1972,[1972],5.874,0.725453622,-5,10561.98942,,,91.1,14.03335969,,58.652,,,,,,,,,0.193903442,2.921752411,6333049,22.334,,94.275,67035.3,54.1483216,,,120,6174088707,,-5.644743469,,40.512,4.456474787,4594.333333
Egypt,Africa - Northern,Africa,Middle East & North Africa,1972,[1972],5.763,0.678841622,-7,4048.016294,,,153.8,2.511187867,,52.926,,,,,,,,,0.190274711,2.222891666,37577248,37.523,,58.722,1560,58.76242124,,,,21458018624,,-5.784831356,,42.7062,2.806709452,25509
El Salvador,America - Central,Central and South America,America,1972,[1972],6.01,0.426469519,-1,9040.492016,,,102.1,0.400320766,,56.917,,,,,,,,,,2.595069301,3937757,187.147,,91.524,6613.347,68.06991369,,,150.6,7665365435,,0.968568957,,40.2452,3.648173372,1679.333333
Equatorial Guinea,Africa - Central,Africa,Sub-Saharan Africa,1972,[1972],5.68,0.320124558,-7,1344.824514,,,,,,40.352,,,,,,,,,,-3.580193947,274893,9.8,,,96887.66,,,,,,,-9.588128983,,27.1364,-3.243547978,88
Eritrea,Africa - Eastern,Africa,Middle East & North Africa,1972,[1972],6.626,,,1028.648416,,,124.8,,,41.26,,,,,,,,,,2.612426141,1946213,16.549,,,,,,,,,,,,12.9374,3.952388453,
Eritrea and Ethiopia,Africa - Eastern,Africa,Middle East & North Africa,1972,[1972],,,,,,,,,,,,,,,,,,,,,33030559,,,,,,,,,,,,,,,
Estonia,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],2.129,,-7,15483.76978,,,,,,70.35,,,,,,,,,,1.123907965,1394029,30.91,,,,,,,32.482,,,,,66.0038,1.92768962,
Ethiopia,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],7.06,0.045948624,-9,1132.487888,,,140.2,,,43.471,,,,,,,,,,2.863227849,30642920,27.749,,43.766,,2.827904063,,,,,,,,8.9368,4.834002173,1408
Faeroe Islands,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,5.972985815,,,,,,,,,,,,,,,,,,0.92053427,39288,28.083,,,,,,,,,,,,28.901,2.577731997,234.6666667
Falkland Islands (Malvinas),Europe - Northern,Europe,America,1972,[1972],,5.612244898,,,,,,,,,,,,,,,,,,,,0.161,,,,,,,,,,,,,,11
Fiji,Oceania,Oceania,East Asia & Pacific,1972,[1972],4.275,1.067214888,9,5595.518968,,,42.3,14.72537148,,60.546,,,,,,,,,,2.087603047,542846,29.706,,96.281,52628.668,,,,,826780467.1,,-9.299655568,,35.5432,3.198320072,579.3333333
Finland,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],1.59,9.50778193,10,28717.7518,,,12,8.244069855,,70.87,,,,,,3.216646,4.713326,1.853951,2.55470547,0.595195266,4644371,13.735,,101.501,23684.6,930.6241948,22.58689,,,55913445265,,-0.489880949,24.30507,65.3548,1.866190678,44157.66667
France,Europe - Western,Europe,Europe & Central Asia,1972,[1972],2.327,9.320518208,8,33681.10832,,,13.7,6.908856447,,72.38,,,,,1.3,0.8751437,1.124962,0.6363424,2.212851997,0.804961782,51572812,93.514,,103.35,3949.03,514.4744027,8.512176,,29.5,662e9,,0.901483296,26.32404,71.8034,1.327469718,480685.3333
French Guiana,America - South,Central and South America,America,1972,[1972],4.267,1.97644945,,13802.33516,,,,,,65.706,,,,,,,,,,,51945,0.577,,,2625854.87,,,,,,,,,,,102.6666667
French Polynesia,Oceania,Oceania,East Asia & Pacific,1972,[1972],4.889,1.828637763,,29134.31248,,,,5.014463266,,60.836,,,,,,,,,,3.187986275,118303,29.576,,,,,,,,1020298673,,,,55.902,3.771057384,216.3333333
Gabon,Africa - Central,Africa,Sub-Saharan Africa,1972,[1972],5.208,4.963656034,-9,22803.89681,,,,-7.276968614,,48.316,,,,,,,,,,2.214028739,551811,2.062,,84.135,296950.82,,,,,2114720779,,0.829557604,,36.3884,8.433429088,2739
Gambia,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],6.185,0.135304127,8,1512.173673,,,120.8,3.156777993,,39.556,,,,,,,,,,3.199116413,487790,43.186,,,15548.77,,,,,247894580,,-6.982685811,,21.468,7.900816679,66
Georgia,Asia - Western,Asia,Europe & Central Asia,1972,[1972],2.579,,-7,7482.452143,,,,-1.304840185,,68.086,,,,,3.319999933,,,,,4.770403033,4791473,68.744,,,,,,,,4978810636,,,,48.9412,5.730428802,
Germany,Europe - Western,Europe,Europe & Central Asia,1972,[1972],1.8,13.27670135,10,36032.36054,,,20.6,4.531857129,,71.01,,,,,,,,,1.938078694,0.478481046,78549958,220.014,,,1960.53,920.3724416,,,44.534,1e12,,-1.664929126,,72.3884,0.557530467,1042884.333
Ghana,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],6.915,0.26436668,-7,2356.447416,,,116.8,15.46587287,,49.911,,,,,,,,,,2.838062006,9167822,38.434,,,5570.95,19.88786545,,,,2615935781,,5.484123162,,29.4064,3.579417995,2423.666667
Gibraltar,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],,2.93509439,,,,,,,,,,,,,,,,,,,24985,4164.167,,,,866.0166938,,,,,,,,,,73.33333333
Greece,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],2.351,3.558903001,-7,24259.60611,,,30.7,5.046610798,,71.576,,,,,1.7,0.4950963,0.641416,0.3663145,0.967904377,0.650037188,8870711,67.224,,90.379,8370.242,301.2255502,1.88145,,37.75,69860097594,,-8.334151783,12.40097,53.6252,1.700943946,31570
Greenland,America - North,North America,America,1972,[1972],2.77,11.48471586,,37352.04846,,,,5.69999985,,,,,,,,,,,,2.303766807,48209,0.022,,,12508037.91,,,,104,514800963,,,,73.402,2.752990979,553.6666667
Grenada,America - Central,Central and South America,America,1972,[1972],4.537,0.507653858,,4809.167875,,,,,,64.462,,,,,,,,,,-0.259524918,93896,272.953,,99.478,,,,,,,,,,32.3532,-0.041070042,47.66666667
Guadeloupe,America - Central,Central and South America,America,1972,[1972],4.548,1.161611657,,7634.917268,,,,,,65.993,,,,,,,,,,,325123,190.688,,,,,,,,,,,,,,377.6666667
Guam,Oceania,Oceania,East Asia & Pacific,1972,[1972],4.137,,,,,,,,,66.473,,,,,,,,,,2.204307591,89350,162.75,,,,,,,,,,,,70.6048,8.55185896,
Guatemala,America - Central,Central and South America,America,1972,[1972],6.208,0.471050911,1,8062.816542,,,111.5,-1.36346086,,53.436,,,,,,,,,,2.725142312,5752386,52.828,,82.164,19434.84,40.01045522,,,143,7724443678,,0.371198787,,36.0142,3.378682966,2709.666667
Guernsey,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,,,35622.67448,,,,,,,,,,,,,,,,,53818,,,,,,,,,,,,,,,
Guinea,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],6.25,0.196852085,-9,1483.332461,,,189,,,37.255,,,,,,,,,,0.767825305,4228217,17.198,,,58135.22,,,,,,,,,17.3922,4.921394462,832.3333333
Guinea-Bissau,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],6.812,0.104946811,,1640.449175,,,,4.974506021,,44.363,,,,,,,,,,2.421064922,628890,17.409,,63.225,51433.07,,,,,106342548.1,,-31.27443315,,15.4592,3.484973925,66
Guyana,America - South,Central and South America,America,1972,[1972],4.974,2.122793117,1,4878.292811,,,55.2,9.885673799,,59.687,,,,,,,,,,0.822455764,735823,3.423,,97.198,333856.05,,,,,543920924.2,,-1.301518508,,29.6418,1.188825869,1562
Haiti,America - Central,Central and South America,America,1972,[1972],5.643,0.080434991,-10,3308.913892,,,156.5,,,47.915,,,,,,,,,,1.726442808,4877645,175.771,,,2873.5961,10.00541685,,,65.7,,,,,20.0188,2.369905684,392.3333333
Holy See,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],,,,,,,,,,,,,,,,,,,,,660,1500,,,,,,,,,,,,,,
Honduras,America - Central,Central and South America,America,1972,[1972],7.111,0.540656133,-1,5059.684689,,,93.5,3.86452598,,53.763,,,,,,,,,,2.800924117,2841609,25.352,,,33728.1747,49.92220956,,,150.8,2630981360,,1.058530553,,30.1852,4.949384087,1536.333333
Hong Kong China,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],,,,16631.85629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Europe - Eastern,Europe,Europe & Central Asia,1972,[1972],2.067,6.679466032,-7,20337.31223,,,38.3,2.11601139,,69.76,,,,,2.1,2.129073,2.576703,1.731695,0.698400817,0.298102515,10393745,111.722,,93.327,9987.75,222.9552406,21.17418,,52.898,28042933178,,1.216748516,17.28711,60.9596,0.995744926,69424.66667
Iceland,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],2.88,7.080802205,,31596.12724,,,11.8,18.33448103,,74.46,,,,,1.6,,,,2.651128637,1.463775579,209722,2.036,,,810596.88,1515.025971,,,76,3350708373,,-1.776949385,,85.6076,1.877913009,1485
India,Asia - Southern,Asia,South Asia,1972,[1972],5.323,0.375651318,9,1515.708895,,,136.9,10.8396027,,50.281,,,,,,,,,0.038096399,2.30613551,579871075,176.399,,58.516,3304.851,7.601015203,,,,121e9,,0.322397465,,20.3888,3.860171411,217829.3333
Indonesia,Asia - South Eastern,Asia,East Asia & Pacific,1972,[1972],5.338,0.348061349,-7,2222.215814,,,106.3,15.2101708,,53.746,,,,,,,,,0.063931766,2.522964847,124507744,65.373,,79.913,22465.18,8.164263452,,,,31838126471,,1.38082393,,17.9694,5.054545876,43336.33333
Iran,Asia - Southern,Asia,Middle East & North Africa,1972,[1972],6.292,3.522940669,-10,17970.00228,,,130.7,6.464270049,,52.561,,,,,,,,,0.666772878,3.076676723,30197689,18.322,,57.555,4505.7671,39.79288038,,,,54161809687,,3.827963774,,43.026,4.735560217,106384.6667
Iraq,Asia - Western,Asia,Middle East & North Africa,1972,[1972],7.234,2.761587342,-7,18404.02459,,,74.3,,,59.47,,,,,,,,,,3.301996222,10700247,24.412,,42.326,6990.093,150.6009836,,,,,,,,58.244,5.059118159,29549.66667
Ireland,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],3.785,7.255809341,10,19061.54579,,,18.2,,,71.02,,,,,,0.7164317,0.9362798,0.4853573,1.639944089,1.497301181,3039128,43.247,,102.088,17157.18,811.2159569,2.437459,,22.308,,,-5.790001988,20.62658,52.4868,2.217433404,22051.33333
Isle of Man,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,,,18006.64887,,,,,,,,,,,,,,,,1.461964053,58567,102.39,,,,,,,,,,,,54.4598,0.210912201,
Israel,Asia - Western,Asia,Middle East & North Africa,1972,[1972],3.798,5.581223236,9,25573.86445,,,,12.70610483,,71.572,,,,,3.155900002,,,,,2.541555331,3033863,137,,,579.285,633.5338398,,,,36234390201,,-19.09621477,,85.1742,3.118035905,16932.66667
Italy,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],2.377,6.083147883,10,24538.54756,,,26.4,5.632973193,,72.19,,,,,,1.041235,1.520423,0.5888233,1.815806892,0.567712499,54074032,179.458,,92.051,3509.81,447.6064922,3.585773,,29.55,54e10,,0.857080395,24.64838,64.8204,0.991624715,328940.3333
Jamaica,America - Central,Central and South America,America,1972,[1972],5.108,3.26688559,10,14867.77859,,,41.1,-4.905810791,,68.767,,,,,,,,,,1.545963836,1924871,175.132,,,4885.0273,141.6943697,,,,7582577384,,-8.289903228,,42.3996,2.8224851,6288.333333
Japan,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],2.109,8.003161914,10,29557.57273,,,11.9,5.60442162,,73.42,,,,,1.1,1.252671,1.46952,1.055934,2.198109173,1.400779181,106619818,282.158,,100.073,4012.08,657.1117715,16.29184,,4.9,197e10,,2.262560224,19.28418,73.4126,2.452156342,853295.6667
Jersey,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],,,,,,,,,,,,,,,,,,,,,70268,,,,,,,,,,,,,,,
Jordan,Asia - Western,Asia,Middle East & North Africa,1972,[1972],7.818,1.050590891,-9,4221.712618,,,59.7,,,61.545,,,,,,,,,,3.723814106,1825322,20.431,,80.644,528.636,,,,,,,,,56.6426,4.318418632,1917.666667
Kazakhstan,Asia - Central,Asia,Europe & Central Asia,1972,[1972],3.44,,-7,13492.81309,,,66.7,,,63.107,,,,,,,,,,1.60028619,13540301,4.969,,,,,,,,,,,,51.1672,2.514409537,
Kenya,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],8.012,0.320450511,-7,2444.719936,,,86.2,1.205245847,,53.364,,,,,,,,,,3.586420101,12082989,20.82,,71.119,2535.85,15.94337798,,,,4686644220,,-2.139250598,,11.3426,8.314438839,3872
Kiribati,Oceania,Oceania,East Asia & Pacific,1972,[1972],5.346,0.560689138,,10631.76849,,,91.8,5.227674167,,52.324,,,,,,,,,,1.628593877,45777,63.054,,89.518,,,,,,65207737.75,,4.698962813,,26.2952,5.91617472,25.66666667
Kuwait,Asia - Western,Asia,Middle East & North Africa,1972,[1972],6.978,31.74464585,-8,218695.7339,,,48,1.482396109,,66.692,,,,,,3.819734,5.424952,1.954169,5.345535507,7.05071169,870446,48.852,,83.378,23.677,2197.717398,0.4255642,,,,,47.93716066,47.74715,87.1502,7.908769524,27632
Kyrgyzstan,Asia - Central,Asia,Europe & Central Asia,1972,[1972],4.724,,-7,5154.651655,,,,,,61.104,,,,,,,,,,,3103694,,,,,,,,,,,,,,,
Latvia,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],1.958,,-7,11911.32375,,,,-0.277088305,,70.26,,,,,,,,,,0.808250226,2405177,37.232,,,,,,,,5616740168,,,,62.0906,1.92379603,
Lebanon,Asia - Western,Asia,Middle East & North Africa,1972,[1972],4.73,2.199219686,5,12796.86767,,,44.3,,,66.565,,,,,,,,,,2.698753391,2597588,249.768,,,1750.508,,,,,,,,,62.4762,5.129943398,5712.666667
Lesotho,Africa - Southern,Africa,Sub-Saharan Africa,1972,[1972],5.802,,-9,993.16318450000006,,,125.7,13.9421205,,49.627,,,,,,,,,,2.043505472,1076100,35.451,,146.201,2806.8415,,,,,193839555,,-53.05466238,,9.4936,6.81997905,
Liberia,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],6.777,0.990427619,-6,1606.010907,,,179,3.490002075,,40.522,,,,,,,,,,2.781151837,1521565,13.662,,47.957,157913.58,,,,,1195269e3,,22.7452922,,27.7678,5.969614572,1507
Libya,Africa - Northern,Africa,Middle East & North Africa,1972,[1972],7.929,7.01916083,-7,42022.99442,,,87.2,,,57.995,,,,,,,,,,4.239266513,2169965,1.233,,61.375,276.5,104.4202764,,,,,,,,54.9166,9.133051869,15231.33333
Liechtenstein,Europe - Western,Europe,Europe & Central Asia,1972,[1972],,,,71087.54099,,,,8.243710048,,,,,,,,,,,,1.804799528,22196,138.725,,,,,,,,720197611.1,,,,18.4014,1.664691002,
Lithuania,Europe - Northern,Europe,Europe & Central Asia,1972,[1972],2.291,,-7,21463.26609,,,18.7,,,71.26,,,,,,,,,,1.081907096,3204064,49.067,,,,,,,24.472,,,,,52.007,3.467512699,
Luxembourg,Europe - Western,Europe,Europe & Central Asia,1972,[1972],1.778,38.9075513,,47766.39599,,,16.9,5.788806976,,70.71,,,,,1.2,,,,,1.213040312,346805,134.109,,98.908,8938.74,565.5951529,,,29.07,6484097816,,13.14614057,,75.5432,1.989912004,13493.33333
Macao  China,Asia - Eastern,Asia,East Asia & Pacific,1972,[1972],,,,18688.36618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],7.318,0.18626863,-3,3497.125965,,,97,3.024334944,,45.735,,,,,,,,,,2.694837575,6909376,11.77,,85.079,46151.81,,,,,2880304466,,-4.060258674,,14.9936,5.720078098,1287
Malawi,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],7.389,0.113486716,-9,1169.243942,,,194.5,0.924482011,,41.511,,,,,,,,,,3.083656813,4814073,40.631,,56.698,3603.887,,,,,678270976,,-14.65437788,,6.6926,7.980007308,546.3333333
Malaysia,Asia - South Eastern,Asia,East Asia & Pacific,1972,[1972],4.603,1.562820332,4,5698.18956,,,40,0.354944928,,65.258,,,,,,,,,0.308783167,2.456835886,11461117,34.747,,,50843.85,,,,59,14377137703,,-1.225180497,,35.1332,4.875616339,17911.66667
Maldives,Asia - Southern,Asia,South Asia,1972,[1972],7.159,0.029745969,,1438.642758,,,158.1,,,45.69,,,,,,,,,,3.263623725,123266,413.644,,,235.745,,,,,,,,,14.0574,11.27453416,3.666666667
Mali,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],6.924,0.039312321,-7,1162.737752,,,187.6,6.472314205,,33.782,,,,,,,,,,1.786893008,6249101,5.039,,52.94,19655.49,,,,,1127555558,,-9.540039544,,15.0956,4.355437751,245.6666667
Malta,Europe - Southern,Europe,Europe & Central Asia,1972,[1972],1.975,2.770052641,,8258.982569,,,22.1,-1.223264314,,71.045,,,,,,,,,,-0.082624147,303123,959.25,,92.705,167.2357,,,,,680693029.3,,-20.93303973,,89.7162,-0.073037905,839.6666667
Marshall Islands,Oceania,Oceania,East Asia & Pacific,1972,[1972],,,,11437.45985,,,59.7,,,,,,,,,,,,,4.724927496,22340,123.425,,,,,,,,,,,,56.348,7.291844146,
Martinique,America - Central,Central and South America,America,1972,[1972],4.165,2.392874642,,19940.54377,,,,,,67.019,,,,,,,,,,,327918,297.566,,,,,,,,,,,,,,784.6666667
Mauritania,Africa - Western,Africa,Sub-Saharan Africa,1972,[1972],6.759,0.372324163,-7,3173.703562,,,105.8,7.122218393,,50.046,,,,,,,,,,2.920305735,1201462,1.172,,,9397.23,,,,,708309609.6,,-0.98116403,,16.966,10.26221057,447.3333333
Mauritius,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],3.575,0.808146176,9,5150.968316,,,60.6,,,63.534,,,,,,1.522529,1.484822,1.513006,,1.516321534,852981,418.128,,92.501,3227.9222,,3.221966,,50.3,,,,17.37966,42.5964,2.181023088,689.3333333
Mayotte,Africa - Eastern,Africa,Sub-Saharan Africa,1972,[1972],7.928,,,,,,,,,63.588,,,,,,,,,,,39955,106.832,,,,,,,,,,,,,,
Mexico,America - Central,Central and South America,America,1972,[1972],6.525,2.40458325,-6,13618.81338,,,72.2,6.485252673,,62.333,,,,,,19.47209,36.12885,3.413355,0.420942165,3.021259117,55081201,28.128,,86.995,8249.5913,136.1341022,1.300987,,116.3,203e9,,-0.7701073,11.04668,60.5162,4.264324952,132447.3333
